Start,End,Time in bed,Heart rate,Activity (steps),Sleep score,睡眠质量（好，一般，不好）
2015/4/17--23:50:00,2015/4/18--7:22:00,7:32,53,6665,59%,
2015/4/20--22:37:00,2015/4/21--6:18:00,7:40,58,7193,77%,
2015/4/22--21:31:00,2015/4/23--5:11:00,7:39,67,14832,77%,
2015/4/23--21:46:00,2015/4/24--5:13:00,7:26,73,14452,87%,
2015/4/25--22:53:00,2015/4/26--7:53:00,9:00,61,17566,100%,
2015/4/26--21:51:00,2015/4/27--4:59:00,7:07,64,1991,70%,
2015/4/27--21:35:00,2015/4/28--4:57:00,7:21,59,9387,77%,
2015/4/28--21:41:00,2015/4/29--5:00:00,7:18,59,13207,53%,
2015/4/30--23:13:00,2015/5/1--6:06:00,6:52,60,12266,77%,
2015/5/1--22:20:00,2015/5/2--6:07:00,7:46,91,12564,65%,
2015/5/5--22:23:00,2015/5/6--6:18:00,7:54,62,11286,83%,
2015/5/6--21:47:00,2015/5/7--5:21:00,7:34,59,7678,50%,
2015/5/7--21:22:00,2015/5/8--4:57:00,7:34,54,9308,89%,
2015/5/9--1:58:00,2015/5/9--7:01:00,5:03,75,16295,61%,
2015/5/10--22:11:00,2015/5/11--5:00:00,6:48,50,12717,66%,
2015/5/11--21:57:00,2015/5/12--5:00:00,7:03,55,1882,75%,
2015/5/12--22:04:00,2015/5/13--4:52:00,6:47,59,1415,72%,
2015/5/14--22:49:00,2015/5/15--6:17:00,7:28,51,18682,79%,
2015/5/17--21:03:00,2015/5/18--7:49:00,10:46,59,2959,93%,
2015/5/18--22:39:00,2015/5/19--6:20:00,7:41,59,17401,91%,
2015/5/20--22:22:00,2015/5/21--5:25:00,7:02,62,19876,59%,
2015/5/21--22:47:00,2015/5/22--5:25:00,6:38,60,4498,74%,
2015/5/24--0:01:00,2015/5/24--7:35:00,7:33,76,4365,73%,
2015/5/24--22:58:00,2015/5/25--6:45:00,7:47,61,18507,67%,
2015/5/25--22:05:00,2015/5/26--5:29:00,7:23,67,3679,85%,
2015/5/26--22:18:00,2015/5/27--5:14:00,6:56,56,7730,69%,
2015/5/28--23:10:00,2015/5/29--7:00:00,7:49,52,2343,81%,
2015/5/31--23:16:00,2015/6/1--6:20:00,7:03,76,12200,72%,
2015/6/1--22:20:00,2015/6/2--6:19:00,7:59,57,10683,76%,
2015/6/3--22:19:00,2015/6/4--5:20:00,7:00,64,7265,78%,
2015/6/4--22:20:00,2015/6/5--3:45:00,5:25,76,3380,70%,
2015/6/5--3:45:00,2015/6/5--5:41:00,1:55,57,15802,23%,
2015/6/7--22:01:00,2015/6/8--5:40:00,7:39,58,19855,75%,
2015/6/8--21:57:00,2015/6/9--5:16:00,7:19,68,12232,69%,
2015/6/9--21:07:00,2015/6/10--5:01:00,7:54,69,15733,83%,
2015/6/10--21:12:00,2015/6/11--6:17:00,9:04,68,13592,92%,
2015/6/11--22:54:00,2015/6/12--6:19:00,7:25,69,11977,74%,
2015/6/14--22:38:00,2015/6/15--6:12:00,7:34,69,2530,81%,
2015/6/15--22:31:00,2015/6/16--6:20:00,7:48,64,9042,88%,
2015/6/16--22:21:00,2015/6/17--6:20:00,7:59,65,14838,69%,
2015/6/17--21:28:00,2015/6/18--5:00:00,7:31,79,19363,63%,
2015/6/18--22:26:00,2015/6/19--4:46:00,6:20,91,11405,71%,
2015/6/22--21:54:00,2015/6/23--5:07:00,7:13,83,17200,78%,
2015/6/23--22:09:00,2015/6/24--4:57:00,6:48,72,5773,76%,
2015/6/24--4:58:00,2015/6/24--5:45:00,0:46,89,16272,10%,
2015/6/24--22:37:00,2015/6/25--6:20:00,7:43,81,7889,82%,
2015/7/11--22:29:00,2015/7/12--8:00:00,9:31,92,17983,98%,
2015/7/19--21:38:00,2015/7/20--6:09:00,8:31,61,11849,69%,
2015/7/20--22:01:00,2015/7/21--5:04:00,7:03,70,5563,68%,
2015/7/21--22:02:00,2015/7/22--5:45:00,7:42,88,531,79%,
2015/7/23--22:29:00,2015/7/24--6:44:00,8:14,79,15073,86%,
2015/7/26--22:29:00,2015/7/27--6:20:00,7:50,89,9378,93%,
2015/7/28--21:32:00,2015/7/29--5:39:00,8:07,78,14827,68%,
2015/7/29--23:06:00,2015/7/30--5:40:00,6:34,67,19207,71%,
2015/7/30--21:40:00,2015/7/31--5:40:00,8:00,75,9350,88%,
2015/8/1--1:41:00,2015/8/1--8:31:00,6:49,85,13275,77%,
2015/8/1--22:55:00,2015/8/2--8:02:00,9:06,81,15182,97%,
2015/8/2--23:45:00,2015/8/3--0:00:00,0:15,84,5801,3%,
2015/8/3--0:26:00,2015/8/3--7:25:00,6:59,77,14652,88%,
2015/8/3--21:46:00,2015/8/4--5:00:00,7:14,73,2981,71%,
2015/8/4--21:17:00,2015/8/5--4:55:00,7:38,89,16512,81%,
2015/8/5--21:35:00,2015/8/6--4:55:00,7:19,83,19631,78%,
2015/8/8--0:19:00,2015/8/8--7:56:00,7:37,85,4803,97%,
2015/8/10--0:01:00,2015/8/10--5:03:00,5:02,77,2363,65%,
2015/8/10--21:11:00,2015/8/11--6:09:00,8:58,92,1298,72%,
2015/8/15--23:41:00,2015/8/16--7:27:00,7:46,69,11233,84%,
2015/8/16--21:44:00,2015/8/17--4:45:00,7:00,87,18547,58%,
2015/8/17--22:13:00,2015/8/18--5:27:00,7:14,67,3812,85%,
2015/8/18--22:33:00,2015/8/19--6:45:00,8:12,62,2195,90%,
2015/8/19--21:48:00,2015/8/20--6:01:00,8:12,71,3490,79%,
2015/8/20--22:36:00,2015/8/21--6:00:00,7:23,81,17686,69%,
2015/8/21--21:52:00,2015/8/22--6:00:00,8:07,96,13939,88%,
2015/8/22--21:59:00,2015/8/23--5:49:00,7:49,86,19554,90%,
2015/8/23--21:59:00,2015/8/24--5:29:00,7:30,79,13857,83%,
2015/8/25--21:57:00,2015/8/26--5:45:00,7:48,80,4899,67%,
2015/8/26--21:14:00,2015/8/27--5:45:00,8:30,60,1511,90%,
2015/8/27--21:19:00,2015/8/28--5:45:00,8:26,92,6995,93%,
2015/8/28--22:01:00,2015/8/29--6:00:00,7:59,69,19257,85%,
2015/8/30--22:00:00,2015/8/31--6:00:00,8:00,67,719,84%,
2015/8/31--22:14:00,2015/9/1--6:00:00,7:46,95,10271,77%,
2015/9/1--22:00:00,2015/9/2--6:00:00,7:59,81,5780,85%,
2015/9/2--23:36:00,2015/9/3--7:10:00,7:33,97,8119,77%,
2015/9/5--22:54:00,2015/9/6--6:59:00,8:04,86,19042,87%,
2015/9/7--22:45:00,2015/9/8--6:13:00,7:27,95,7598,84%,
2015/9/8--22:03:00,2015/9/9--6:04:00,8:01,62,6884,86%,
2015/9/9--22:40:00,2015/9/10--6:10:00,7:29,82,14372,83%,
2015/9/10--22:10:00,2015/9/11--4:57:00,6:46,60,4463,77%,
2015/9/12--0:06:00,2015/9/12--7:41:00,7:35,93,952,81%,
2015/9/13--22:03:00,2015/9/14--5:50:00,7:47,82,7999,81%,
2015/9/14--22:33:00,2015/9/15--6:30:00,7:56,93,5240,83%,
2015/9/15--22:14:00,2015/9/16--5:55:00,7:40,73,9052,70%,
2015/9/16--21:59:00,2015/9/17--6:20:00,8:20,96,5964,80%,
2015/9/17--22:57:00,2015/9/18--6:20:00,7:22,98,13514,60%,
2015/9/19--0:31:00,2015/9/19--6:55:00,6:23,87,6084,55%,
2015/9/19--22:01:00,2015/9/20--6:48:00,8:47,72,4692,91%,
2015/9/20--22:07:00,2015/9/21--6:15:00,8:08,64,6374,79%,
2015/9/22--21:34:00,2015/9/23--6:15:00,8:41,61,8085,81%,
2015/9/23--21:37:00,2015/9/24--5:07:00,7:29,63,8651,77%,
2015/9/24--22:37:00,2015/9/25--6:00:00,7:22,74,11772,83%,
2015/9/27--22:57:00,2015/9/28--7:00:00,8:02,70,1342,82%,
2015/9/28--21:12:00,2015/9/29--5:15:00,8:02,88,15666,90%,
2015/9/29--22:54:00,2015/9/30--6:20:00,7:25,61,9630,89%,
2015/9/30--23:57:00,2015/10/1--6:14:00,6:16,91,14479,62%,
2015/10/3--0:09:00,2015/10/3--7:26:00,7:17,81,18567,69%,
2015/10/11--0:27:00,2015/10/11--8:58:00,8:31,77,4306,100%,
2015/10/12--21:59:00,2015/10/13--6:00:00,8:01,60,2787,74%,
2015/10/13--22:19:00,2015/10/14--4:59:00,6:40,71,17594,59%,
2015/10/14--5:00:00,2015/10/14--6:00:00,1:00,83,6518,13%,
2015/10/14--22:40:00,2015/10/15--6:20:00,7:40,66,6349,68%,
2015/10/15--22:12:00,2015/10/16--6:21:00,8:08,78,19753,67%,
2015/10/17--0:45:00,2015/10/17--7:37:00,6:51,92,19354,57%,
2015/10/18--21:52:00,2015/10/19--6:20:00,8:27,82,9523,67%,
2015/10/20--21:38:00,2015/10/21--6:20:00,8:42,60,3722,88%,
2015/10/21--22:41:00,2015/10/22--6:20:00,7:39,74,6390,77%,
2015/10/22--21:46:00,2015/10/23--5:30:00,7:44,69,12974,80%,
2015/10/24--0:32:00,2015/10/24--8:12:00,7:40,71,19732,77%,
2015/10/24--22:38:00,2015/10/25--6:33:00,7:55,66,10216,81%,
2015/10/26--23:09:00,2015/10/27--6:05:00,6:55,98,11654,77%,
2015/10/27--21:34:00,2015/10/28--5:35:00,8:01,68,12937,78%,
