Start,End,Time in bed,Heart rate,Activity (steps),Sleep score,睡眠质量（好，一般，不好）
2016/5/23--22:34:00,2016/5/24--5:30:00,6:55,82,12315,75%,
2016/5/24--22:00:00,2016/5/25--5:35:00,7:35,73,18117,90%,
2016/5/25--22:21:00,2016/5/26--6:31:00,8:09,97,6241,88%,
2016/5/26--22:08:00,2016/5/27--6:19:00,8:11,90,11582,89%,
2016/5/28--0:19:00,2016/5/28--7:15:00,6:56,74,18400,72%,
2016/5/29--22:04:00,2016/5/30--6:40:00,8:36,60,17846,100%,
2016/5/30--22:07:00,2016/5/31--6:08:00,8:00,71,3986,72%,
2016/5/31--23:02:00,2016/6/1--6:31:00,7:28,65,16693,70%,
2016/6/1--23:01:00,2016/6/2--5:48:00,6:46,89,11678,67%,
2016/6/2--22:51:00,2016/6/3--5:31:00,6:39,61,15280,65%,
2016/6/5--22:33:00,2016/6/6--5:51:00,7:18,67,16466,71%,
2016/6/6--23:26:00,2016/6/7--5:31:00,6:05,82,2939,70%,
2016/6/7--22:32:00,2016/6/8--5:32:00,6:59,74,6097,77%,
2016/6/8--21:56:00,2016/6/9--6:16:00,8:20,84,19760,76%,
2016/6/9--22:07:00,2016/6/10--6:35:00,8:27,98,1204,87%,
2016/6/11--22:42:00,2016/6/12--8:41:00,9:58,85,15283,93%,
2016/6/12--22:52:00,2016/6/13--6:32:00,7:39,75,16647,77%,
2016/6/13--22:03:00,2016/6/14--6:26:00,8:22,78,5704,82%,
2016/6/14--22:32:00,2016/6/15--6:30:00,7:58,70,6848,68%,
2016/6/16--0:46:00,2016/6/16--6:25:00,5:38,76,16756,64%,
2016/6/16--22:06:00,2016/6/17--6:01:00,7:54,76,8608,83%,
2016/6/17--23:28:00,2016/6/18--7:23:00,7:54,77,10072,79%,
2016/6/19--23:00:00,2016/6/20--6:00:00,6:59,93,14154,74%,
2016/6/20--22:34:00,2016/6/21--5:50:00,7:15,68,9404,83%,
2016/6/21--22:11:00,2016/6/22--5:40:00,7:29,65,12049,83%,
2016/6/22--22:41:00,2016/6/23--6:22:00,7:41,85,10537,82%,
2016/6/23--22:32:00,2016/6/24--6:32:00,8:00,93,17632,86%,
2016/6/26--22:16:00,2016/6/27--6:30:00,8:14,96,7699,64%,
2016/6/27--23:48:00,2016/6/28--6:47:00,6:58,60,1338,62%,
2016/6/28--23:10:00,2016/6/29--6:35:00,7:25,96,15060,77%,
2016/6/29--22:32:00,2016/6/30--5:55:00,7:23,64,9623,83%,
2016/7/1--23:32:00,2016/7/2--7:32:00,8:00,76,16427,90%,
2016/7/3--21:49:00,2016/7/4--6:02:00,8:12,94,13591,86%,
2016/7/4--21:39:00,2016/7/5--5:50:00,8:11,98,17875,85%,
2016/7/5--22:48:00,2016/7/6--6:05:00,7:16,75,15506,75%,
2016/7/6--22:13:00,2016/7/7--6:15:00,8:02,69,8487,92%,
2016/7/7--22:53:00,2016/7/8--7:05:00,8:12,83,1958,96%,
2016/7/10--22:18:00,2016/7/11--6:17:00,7:59,60,1702,85%,
2016/7/11--21:24:00,2016/7/12--6:15:00,8:50,94,9665,99%,
2016/7/12--22:02:00,2016/7/13--6:15:00,8:13,84,6508,96%,
2016/7/13--23:13:00,2016/7/14--6:15:00,7:02,92,529,78%,
2016/7/14--22:39:00,2016/7/15--6:15:00,7:35,84,1294,84%,
2016/7/16--0:32:00,2016/7/16--8:19:00,7:47,61,14479,87%,
2016/7/16--23:20:00,2016/7/17--7:31:00,8:10,86,17285,98%,
2016/7/17--22:23:00,2016/7/18--6:00:00,7:37,81,4603,76%,
2016/7/18--22:57:00,2016/7/19--6:05:00,7:08,81,19578,77%,
2016/7/19--22:36:00,2016/7/20--5:50:00,7:14,66,13613,77%,
2016/7/20--22:25:00,2016/7/21--5:56:00,7:30,66,19820,82%,
2016/7/21--23:07:00,2016/7/22--7:00:00,7:52,61,6432,87%,
2016/7/22--22:20:00,2016/7/23--7:56:00,9:35,96,17495,99%,
2016/7/23--23:47:00,2016/7/24--7:56:00,8:09,86,12034,74%,
2016/7/24--22:45:00,2016/7/25--6:14:00,7:28,72,10874,81%,
2016/7/25--21:54:00,2016/7/26--6:02:00,8:07,84,3600,86%,
2016/7/26--23:03:00,2016/7/27--6:11:00,7:07,81,1194,84%,
2016/7/27--22:49:00,2016/7/28--7:11:00,8:21,60,17698,95%,
2016/7/28--22:25:00,2016/7/29--3:35:00,5:10,70,6964,35%,
2016/8/16--22:05:00,2016/8/17--5:50:00,7:44,86,22417,96%,
2016/8/17--22:42:00,2016/8/18--6:15:00,7:33,94,7200,78%,
2016/8/18--21:58:00,2016/8/19--6:23:00,8:24,76,3444,36%,
2016/8/20--22:04:00,2016/8/21--8:33:00,10:28,66,7901,56%,
2016/8/21--22:08:00,2016/8/22--6:20:00,8:11,69,3786,52%,
2016/8/22--22:13:00,2016/8/23--6:22:00,8:09,76,2668,35%,
2016/8/23--23:08:00,2016/8/24--6:38:00,7:30,69,4213,51%,
2016/8/24--21:51:00,2016/8/25--6:10:00,8:19,67,2210,54%,
2016/8/25--22:06:00,2016/8/26--6:19:00,8:13,71,3040,55%,
2016/8/26--23:49:00,2016/8/27--7:26:00,7:37,83,3887,46%,
2016/8/27--23:52:00,2016/8/28--8:25:00,8:33,69,5631,48%,
2016/8/28--22:52:00,2016/8/29--6:40:00,7:48,100,10059,36%,
2016/8/29--22:10:00,2016/8/30--6:20:00,8:09,97,3698,40%,
2016/8/30--22:21:00,2016/8/31--6:20:00,7:59,68,4399,49%,
2016/8/31--22:33:00,2016/9/1--6:20:00,7:47,100,4015,49%,
2016/9/1--23:08:00,2016/9/2--5:58:00,6:50,87,4374,54%,
2016/9/2--22:38:00,2016/9/3--7:47:00,9:09,66,5038,67%,
2016/9/4--23:28:00,2016/9/5--8:00:00,8:32,92,827,61%,
2016/9/5--21:00:00,2016/9/6--6:20:00,9:20,62,2542,41%,
2016/9/6--22:11:00,2016/9/7--6:22:00,8:10,78,7370,70%,
2016/9/7--22:31:00,2016/9/8--6:21:00,7:50,78,5658,69%,
2016/9/8--22:28:00,2016/9/9--6:10:00,7:41,86,7107,61%,
2016/9/10--0:45:00,2016/9/10--7:06:00,6:21,91,7048,58%,
2016/9/10--22:44:00,2016/9/11--6:01:00,7:17,66,6925,33%,
2016/9/11--23:05:00,2016/9/12--6:20:00,7:14,88,1130,60%,
2016/9/12--22:46:00,2016/9/13--6:20:00,7:34,68,7025,67%,
2016/9/13--21:55:00,2016/9/14--6:07:00,8:12,91,5955,59%,
2016/9/14--22:26:00,2016/9/15--6:20:00,7:53,97,9243,65%,
2016/9/17--22:26:00,2016/9/18--8:22:00,9:56,95,908,70%,
2016/9/18--22:28:00,2016/9/19--6:24:00,7:55,83,2191,57%,
2016/9/19--22:14:00,2016/9/20--6:22:00,8:07,73,11650,60%,
2016/9/20--22:39:00,2016/9/21--6:15:00,7:36,91,10842,57%,
2016/9/21--22:11:00,2016/9/22--6:11:00,7:59,84,5765,60%,
2016/9/22--22:26:00,2016/9/23--6:55:00,8:29,81,8047,70%,
2016/9/25--22:53:00,2016/9/26--6:24:00,7:31,90,359,58%,
2016/9/26--22:17:00,2016/9/27--6:20:00,8:03,84,8733,55%,
2016/9/27--22:22:00,2016/9/28--6:06:00,7:44,88,6963,55%,
2016/9/28--23:10:00,2016/9/29--6:20:00,7:09,81,10392,60%,
2016/9/29--22:50:00,2016/9/30--6:20:00,7:29,96,7230,53%,
2016/10/1--0:06:00,2016/10/1--8:27:00,8:20,86,7255,67%,
2016/10/1--23:23:00,2016/10/2--7:50:00,8:26,62,4555,55%,
2016/10/2--23:29:00,2016/10/3--6:25:00,6:56,80,8954,54%,
2016/10/3--22:24:00,2016/10/4--6:03:00,7:38,77,9726,62%,
2016/10/4--21:53:00,2016/10/5--6:21:00,8:28,100,8587,66%,
2016/10/5--22:33:00,2016/10/6--6:21:00,7:48,72,8612,54%,
2016/10/7--0:07:00,2016/10/7--6:40:00,6:33,60,8737,52%,
2016/10/7--23:18:00,2016/10/8--7:20:00,8:02,96,10375,71%,
2016/10/10--22:38:00,2016/10/11--6:28:00,7:49,66,21870,59%,
2016/10/11--22:28:00,2016/10/12--6:14:00,7:45,71,10106,56%,
2016/10/12--22:48:00,2016/10/13--6:05:00,7:16,92,9308,65%,
2016/10/13--22:26:00,2016/10/14--6:30:00,8:04,64,8406,61%,
2016/10/15--23:00:00,2016/10/16--7:31:00,8:30,90,779,71%,
2016/10/16--22:52:00,2016/10/17--6:20:00,7:27,73,3932,50%,
2016/10/17--22:53:00,2016/10/18--6:27:00,7:34,89,10266,63%,
2016/10/18--22:34:00,2016/10/19--6:10:00,7:35,70,10540,67%,
2016/10/19--22:13:00,2016/10/20--5:49:00,7:35,77,8164,64%,
2016/10/20--22:14:00,2016/10/21--6:33:00,8:19,91,7271,67%,
2016/10/22--1:38:00,2016/10/22--7:18:00,5:39,96,6044,54%,
2016/10/23--0:07:00,2016/10/23--8:47:00,8:40,94,7682,81%,
2016/10/23--22:21:00,2016/10/24--6:23:00,8:01,78,6719,66%,
2016/10/24--23:04:00,2016/10/25--6:25:00,7:21,95,8273,65%,
2016/10/25--22:48:00,2016/10/26--6:35:00,7:46,76,6366,69%,
2016/10/26--22:55:00,2016/10/27--6:26:00,7:30,94,9368,72%,
2016/10/27--23:03:00,2016/10/28--6:35:00,7:32,63,7967,63%,
2016/10/29--0:16:00,2016/10/29--7:51:00,7:34,91,8641,66%,
2016/10/30--22:46:00,2016/10/31--6:10:00,7:23,91,1283,68%,
2016/11/1--22:19:00,2016/11/2--5:57:00,7:37,73,4542,68%,
2016/11/2--22:52:00,2016/11/3--6:30:00,7:38,95,2870,72%,
2016/11/4--0:13:00,2016/11/4--6:15:00,6:01,72,10506,52%,
2016/11/4--22:49:00,2016/11/5--7:58:00,9:08,98,6716,80%,
2016/11/6--21:58:00,2016/11/7--5:47:00,7:49,94,6623,65%,
2016/11/7--22:16:00,2016/11/8--5:51:00,7:35,67,6608,70%,
2016/11/8--22:51:00,2016/11/9--5:48:00,6:56,84,7119,62%,
2016/11/9--22:37:00,2016/11/10--5:55:00,7:17,78,8981,65%,
2016/11/10--23:58:00,2016/11/11--7:19:00,7:20,79,7385,56%,
2016/11/11--23:25:00,2016/11/12--7:16:00,7:51,61,737,74%,
2016/11/15--22:14:00,2016/11/16--7:35:00,9:20,71,5274,72%,
2016/11/16--23:10:00,2016/11/17--7:07:00,7:56,71,2670,70%,
2016/11/17--23:15:00,2016/11/18--6:59:00,7:44,69,5825,73%,
2016/11/18--23:37:00,2016/11/19--7:13:00,7:36,90,5971,70%,
2016/11/19--23:47:00,2016/11/20--7:53:00,8:05,79,1540,81%,
2016/11/20--23:00:00,2016/11/21--7:02:00,8:01,61,847,80%,
2016/11/21--22:38:00,2016/11/22--5:40:00,7:01,84,6149,68%,
2016/11/22--21:26:00,2016/11/23--5:40:00,8:13,90,10585,80%,
2016/11/23--22:44:00,2016/11/24--6:10:00,7:25,81,10248,73%,
2016/11/24--22:00:00,2016/11/25--6:39:00,8:39,73,6536,88%,
2016/11/25--23:09:00,2016/11/26--7:40:00,8:30,75,5628,89%,
2016/11/27--22:01:00,2016/11/28--6:18:00,8:16,61,595,75%,
2016/11/28--22:35:00,2016/11/29--6:26:00,7:50,89,7499,83%,
2016/11/29--23:33:00,2016/11/30--6:31:00,6:57,85,3196,71%,
2016/11/30--21:12:00,2016/12/1--5:13:00,8:01,70,3763,89%,
2016/12/1--5:14:00,2016/12/1--6:38:00,1:24,92,3763,17%,
2016/12/1--21:40:00,2016/12/2--5:11:00,7:31,69,4904,71%,
2016/12/4--1:18:00,2016/12/4--9:20:00,8:02,61,3158,89%,
2016/12/4--21:45:00,2016/12/5--5:45:00,8:00,81,4514,78%,
2016/12/5--21:44:00,2016/12/6--5:40:00,7:55,73,7137,79%,
2016/12/6--22:13:00,2016/12/7--5:46:00,7:32,62,7709,72%,
2016/12/7--22:46:00,2016/12/8--6:19:00,7:32,78,10521,82%,
2016/12/8--23:32:00,2016/12/9--6:47:00,7:15,88,9338,69%,
2016/12/9--22:48:00,2016/12/10--8:11:00,9:23,78,4629,79%,
2016/12/11--1:07:00,2016/12/11--8:27:00,7:19,98,5776,82%,
2016/12/11--22:14:00,2016/12/12--6:16:00,8:01,78,168,85%,
2016/12/12--22:56:00,2016/12/13--6:35:00,7:38,70,6964,81%,
2016/12/13--22:02:00,2016/12/14--6:05:00,8:02,71,3448,83%,
2016/12/14--21:57:00,2016/12/15--6:18:00,8:20,64,4114,74%,
2016/12/15--21:29:00,2016/12/16--5:00:00,7:31,62,7112,75%,
2016/12/18--22:35:00,2016/12/19--5:47:00,7:11,70,3391,78%,
2016/12/19--21:49:00,2016/12/20--6:35:00,8:46,63,2335,96%,
2016/12/20--23:48:00,2016/12/21--7:09:00,7:20,85,7293,84%,
2016/12/21--23:56:00,2016/12/22--7:30:00,7:33,77,8488,86%,
2016/12/22--23:07:00,2016/12/23--7:07:00,8:00,83,5701,74%,
2016/12/27--23:17:00,2016/12/28--7:22:00,8:05,81,4509,69%,
2016/12/30--23:25:00,2016/12/31--8:26:00,9:00,99,3868,92%,
2017/1/2--22:35:00,2017/1/3--5:10:00,6:34,81,5216,73%,
2017/1/3--5:11:00,2017/1/3--6:30:00,1:19,85,5216,17%,
2017/1/3--21:47:00,2017/1/4--5:57:00,8:09,79,3669,87%,
2017/1/4--22:40:00,2017/1/5--6:10:00,7:29,86,10856,87%,
2017/1/5--22:39:00,2017/1/6--6:42:00,8:02,97,7787,93%,
2017/1/6--23:14:00,2017/1/7--8:43:00,9:29,61,10344,90%,
2017/1/8--0:34:00,2017/1/8--7:56:00,7:22,100,3094,79%,
2017/1/8--22:07:00,2017/1/9--6:23:00,8:16,88,202,84%,
2017/1/9--22:42:00,2017/1/10--6:40:00,7:57,90,7122,65%,
2017/1/10--22:20:00,2017/1/11--6:14:00,7:54,94,1734,84%,
2017/1/11--22:14:00,2017/1/12--5:22:00,7:07,92,2562,73%,
2017/1/12--22:13:00,2017/1/13--5:31:00,7:17,68,8076,64%,
2017/1/13--23:27:00,2017/1/14--7:22:00,7:54,68,12802,89%,
2017/1/15--23:25:00,2017/1/16--6:58:00,7:32,90,12258,74%,
2017/1/16--21:58:00,2017/1/17--5:11:00,7:12,83,4540,71%,
2017/1/17--5:12:00,2017/1/17--7:20:00,2:08,92,4540,24%,
2017/1/17--22:23:00,2017/1/18--5:01:00,6:37,86,173,57%,
2017/1/18--22:22:00,2017/1/19--6:31:00,8:09,79,6368,76%,
2017/1/19--22:14:00,2017/1/20--6:30:00,8:15,69,1740,92%,
2017/1/20--23:07:00,2017/1/21--7:45:00,8:38,71,5056,78%,
2017/1/21--23:12:00,2017/1/22--7:42:00,8:29,98,4223,96%,
2017/1/22--22:03:00,2017/1/23--6:25:00,8:22,87,4336,64%,
2017/1/23--22:34:00,2017/1/24--6:09:00,7:35,92,4772,89%,
2017/1/24--22:55:00,2017/1/25--6:13:00,7:17,73,3492,84%,
2017/1/25--20:54:00,2017/1/26--5:09:00,8:15,93,6010,85%,
2017/1/26--22:12:00,2017/1/27--4:58:00,6:45,94,4200,54%,
2017/1/27--4:58:00,2017/1/27--6:40:00,1:42,69,4200,21%,
2017/1/27--23:22:00,2017/1/28--7:25:00,8:02,82,4573,91%,
2017/1/30--23:27:00,2017/1/31--6:01:00,6:34,88,3228,63%,
2017/1/31--22:44:00,2017/2/1--6:20:00,7:36,96,5379,78%,
2017/2/1--22:41:00,2017/2/2--6:10:00,7:29,81,7521,74%,
2017/2/2--22:19:00,2017/2/3--6:31:00,8:11,63,2309,85%,
2017/2/3--23:58:00,2017/2/4--7:08:00,7:09,85,2983,80%,
2017/2/4--23:45:00,2017/2/5--7:20:00,7:35,72,6833,68%,
2017/2/5--22:53:00,2017/2/6--6:30:00,7:36,62,7665,75%,
2017/2/6--22:30:00,2017/2/7--6:20:00,7:50,74,7552,71%,
2017/2/7--23:34:00,2017/2/8--6:30:00,6:55,70,5339,71%,
2017/2/8--23:46:00,2017/2/9--6:27:00,6:40,94,4076,68%,
2017/2/9--22:31:00,2017/2/10--5:00:00,6:28,89,12892,62%,
2017/2/10--5:00:00,2017/2/10--6:36:00,1:36,74,12892,21%,
2017/2/10--22:37:00,2017/2/11--7:07:00,8:30,75,3417,100%,
2017/2/12--21:49:00,2017/2/13--7:06:00,9:16,99,2756,63%,
2017/2/13--21:51:00,2017/2/14--5:02:00,7:10,65,6003,74%,
2017/2/14--5:02:00,2017/2/14--6:36:00,1:33,71,6003,12%,
2017/2/14--23:17:00,2017/2/15--6:13:00,6:55,98,3588,59%,
2017/2/15--22:36:00,2017/2/16--6:25:00,7:48,74,5558,44%,
2017/2/16--22:33:00,2017/2/17--6:31:00,7:58,68,3301,83%,
2017/2/17--23:49:00,2017/2/18--8:09:00,8:20,61,3027,93%,
2017/2/19--0:28:00,2017/2/19--8:16:00,7:48,88,3361,79%,
2017/2/19--22:12:00,2017/2/20--6:16:00,8:04,94,460,66%,
2017/2/20--22:43:00,2017/2/21--6:27:00,7:43,64,7419,76%,
2017/2/21--23:14:00,2017/2/22--6:26:00,7:11,97,5499,72%,
2017/2/22--21:30:00,2017/2/23--5:02:00,7:31,89,4258,83%,
2017/2/23--22:15:00,2017/2/24--5:34:00,7:19,82,5862,81%,
2017/2/24--5:34:00,2017/2/24--6:30:00,0:55,82,5862,12%,
2017/2/25--2:46:00,2017/2/25--9:52:00,7:06,71,6388,80%,
2017/2/26--0:40:00,2017/2/26--7:47:00,7:07,73,4275,77%,
2017/2/27--22:16:00,2017/2/28--5:50:00,7:34,66,2499,81%,
2017/2/28--21:39:00,2017/3/1--5:40:00,8:01,65,7351,87%,
2017/3/1--5:43:00,2017/3/1--6:40:00,0:57,66,7351,12%,
2017/3/1--22:23:00,2017/3/2--6:30:00,8:07,65,6109,85%,
2017/3/2--22:22:00,2017/3/3--6:18:00,7:55,70,6388,81%,
2017/3/5--0:12:00,2017/3/5--8:28:00,8:16,99,6785,96%,
2017/3/5--22:01:00,2017/3/6--6:08:00,8:07,78,171,93%,
2017/3/6--22:01:00,2017/3/7--6:22:00,8:21,69,4670,97%,
2017/3/7--22:13:00,2017/3/8--6:15:00,8:01,68,7000,90%,
2017/3/8--21:13:00,2017/3/9--6:18:00,9:05,78,3744,85%,
2017/3/9--21:48:00,2017/3/10--5:01:00,7:13,63,7028,71%,
2017/3/10--22:42:00,2017/3/11--6:57:00,8:14,60,2679,86%,
2017/3/12--22:39:00,2017/3/13--6:33:00,7:53,77,1572,80%,
2017/3/13--21:20:00,2017/3/14--5:02:00,7:42,89,6212,81%,
2017/3/14--21:06:00,2017/3/15--5:23:00,8:17,98,5933,89%,
2017/3/15--22:33:00,2017/3/16--6:17:00,7:44,98,9185,71%,
2017/3/16--22:33:00,2017/3/17--6:37:00,8:04,93,7887,95%,
2017/3/17--22:55:00,2017/3/18--8:02:00,9:07,68,10528,99%,
2017/3/18--22:26:00,2017/3/19--7:21:00,8:54,76,302,89%,
2017/3/20--0:02:00,2017/3/20--7:20:00,7:18,92,2750,79%,
2017/3/20--23:35:00,2017/3/21--7:16:00,7:41,67,3695,88%,
2017/3/21--23:20:00,2017/3/22--6:21:00,7:01,86,1913,79%,
2017/3/22--22:02:00,2017/3/23--5:15:00,7:12,70,7155,72%,
2017/3/23--22:20:00,2017/3/24--5:41:00,7:21,84,7810,76%,
2017/3/25--23:19:00,2017/3/26--7:16:00,7:56,86,3549,100%,
2017/3/26--22:03:00,2017/3/27--5:33:00,7:29,79,3554,83%,
2017/3/27--21:19:00,2017/3/28--5:42:00,8:22,97,7562,78%,
2017/3/28--22:29:00,2017/3/29--5:41:00,7:11,87,7823,78%,
2017/3/29--22:29:00,2017/3/30--6:04:00,7:34,81,7708,79%,
2017/3/30--22:42:00,2017/3/31--7:33:00,8:51,77,8615,93%,
2017/4/1--2:10:00,2017/4/1--8:37:00,6:27,82,9461,80%,
2017/4/1--21:22:00,2017/4/2--7:16:00,9:54,93,4595,95%,
2017/4/2--22:01:00,2017/4/3--6:20:00,8:19,60,2835,90%,
2017/4/3--21:58:00,2017/4/4--6:01:00,8:03,72,1898,92%,
2017/4/4--22:01:00,2017/4/5--6:11:00,8:09,83,8396,81%,
2017/4/5--23:45:00,2017/4/6--6:20:00,6:35,95,7948,73%,
2017/4/6--23:12:00,2017/4/7--6:20:00,7:07,79,14408,68%,
2017/4/8--0:00:00,2017/4/8--7:30:00,7:29,74,8646,75%,
2017/4/10--0:52:00,2017/4/10--6:32:00,5:40,77,771,65%,
2017/4/10--22:21:00,2017/4/11--5:41:00,7:19,80,11355,70%,
2017/4/11--6:03:00,2017/4/11--6:31:00,0:27,79,4533,6%,
2017/4/11--22:39:00,2017/4/12--5:55:00,7:16,69,4153,67%,
2017/4/12--21:42:00,2017/4/13--6:54:00,9:11,78,1318,74%,
2017/4/13--23:52:00,2017/4/14--8:05:00,8:12,69,889,83%,
2017/4/14--21:45:00,2017/4/15--7:52:00,10:07,67,4787,88%,
2017/4/15--23:23:00,2017/4/16--7:05:00,7:42,66,4581,73%,
2017/4/17--0:06:00,2017/4/17--7:51:00,7:44,83,1510,83%,
2017/4/17--22:12:00,2017/4/18--5:54:00,7:41,90,780,66%,
2017/4/18--22:43:00,2017/4/19--6:20:00,7:36,98,6284,59%,
2017/4/19--21:39:00,2017/4/20--5:30:00,7:51,80,8213,75%,
2017/4/20--22:15:00,2017/4/21--5:41:00,7:26,94,7905,75%,
2017/4/21--22:36:00,2017/4/22--7:46:00,9:09,60,8072,83%,
2017/4/23--0:53:00,2017/4/23--8:38:00,7:44,98,2666,86%,
2017/4/23--22:31:00,2017/4/24--6:31:00,7:59,87,3042,75%,
2017/4/24--23:07:00,2017/4/25--6:34:00,7:27,87,10319,72%,
2017/4/25--22:20:00,2017/4/26--6:20:00,8:00,93,8358,85%,
2017/4/26--22:25:00,2017/4/27--6:32:00,8:06,80,7337,68%,
2017/4/27--22:48:00,2017/4/28--6:40:00,7:51,92,6551,64%,
2017/4/28--23:39:00,2017/4/29--8:17:00,8:37,72,3357,90%,
2017/4/29--23:39:00,2017/4/30--7:23:00,7:43,72,2668,74%,
2017/4/30--22:28:00,2017/5/1--6:16:00,7:47,63,7491,72%,
2017/5/1--22:00:00,2017/5/2--6:17:00,8:16,67,11475,74%,
2017/5/2--21:47:00,2017/5/3--6:04:00,8:16,70,4810,77%,
2017/5/3--22:59:00,2017/5/4--6:20:00,7:21,67,6932,59%,
2017/5/4--22:37:00,2017/5/5--6:10:00,7:32,62,5954,73%,
2017/5/6--0:25:00,2017/5/6--7:45:00,7:20,70,11070,83%,
2017/5/7--21:51:00,2017/5/8--6:10:00,8:18,71,4310,81%,
2017/5/8--22:28:00,2017/5/9--6:11:00,7:43,89,8598,66%,
2017/5/9--23:33:00,2017/5/10--6:03:00,6:29,79,6073,64%,
2017/5/10--6:04:00,2017/5/10--7:45:00,1:40,92,4353,18%,
2017/5/10--22:43:00,2017/5/11--6:16:00,7:32,84,2854,82%,
2017/5/11--21:52:00,2017/5/12--6:40:00,8:47,79,4280,95%,
2017/5/13--0:42:00,2017/5/13--7:41:00,6:59,65,4068,73%,
2017/5/14--0:04:00,2017/5/14--8:11:00,8:06,85,3298,73%,
2017/5/14--21:57:00,2017/5/15--6:20:00,8:22,60,3958,77%,
2017/5/15--22:55:00,2017/5/16--6:30:00,7:34,85,7661,75%,
2017/5/16--22:41:00,2017/5/17--6:17:00,7:36,98,1865,73%,
2017/5/17--22:44:00,2017/5/18--6:40:00,7:56,70,6764,90%,
2017/5/18--23:17:00,2017/5/19--6:27:00,7:10,71,82,88%,
2017/5/20--1:04:00,2017/5/20--8:56:00,7:52,61,5606,73%,
2017/5/22--22:29:00,2017/5/23--7:35:00,9:06,87,8858,90%,
2017/5/24--0:14:00,2017/5/24--7:46:00,7:32,85,14276,70%,
2017/5/24--22:09:00,2017/5/25--6:37:00,8:28,76,3884,82%,
2017/5/25--22:19:00,2017/5/26--6:24:00,8:04,63,4565,73%,
2017/5/28--0:18:00,2017/5/28--8:01:00,7:43,67,3770,81%,
2017/5/28--22:37:00,2017/5/29--6:18:00,7:41,80,1450,75%,
2017/5/29--22:28:00,2017/5/30--6:11:00,7:42,100,7711,88%,
2017/5/30--21:59:00,2017/5/31--6:20:00,8:21,77,6430,75%,
2017/5/31--22:26:00,2017/6/1--5:45:00,7:19,60,6964,86%,
2017/6/1--22:59:00,2017/6/2--6:40:00,7:41,60,4562,80%,
2017/6/2--22:05:00,2017/6/3--6:11:00,8:05,62,1867,69%,
2017/6/3--21:56:00,2017/6/4--7:13:00,9:16,82,8205,72%,
2017/6/4--23:14:00,2017/6/5--6:21:00,7:06,88,6705,67%,
2017/6/5--22:30:00,2017/6/6--6:17:00,7:47,69,7820,74%,
2017/6/6--21:38:00,2017/6/7--5:53:00,8:14,72,5391,76%,
2017/6/7--22:54:00,2017/6/8--6:34:00,7:40,61,10542,41%,
2017/6/8--21:47:00,2017/6/9--6:17:00,8:30,83,255,70%,
2017/6/10--0:07:00,2017/6/10--7:55:00,7:47,100,10427,67%,
2017/6/11--22:18:00,2017/6/12--6:10:00,7:52,79,6507,78%,
2017/6/12--21:44:00,2017/6/13--6:17:00,8:32,63,10373,93%,
2017/6/13--22:18:00,2017/6/14--6:12:00,7:54,92,9204,74%,
2017/6/14--22:34:00,2017/6/15--6:13:00,7:38,64,5027,68%,
2017/6/15--22:19:00,2017/6/16--6:07:00,7:48,86,7106,76%,
2017/6/18--5:01:00,2017/6/18--7:34:00,2:33,80,12153,31%,
2017/6/18--7:35:00,2017/6/18--8:09:00,0:34,87,804,7%,
2017/6/18--22:22:00,2017/6/19--6:02:00,7:39,87,5251,66%,
2017/6/19--22:57:00,2017/6/20--6:24:00,7:26,95,6672,70%,
2017/6/20--22:31:00,2017/6/21--6:15:00,7:43,64,7007,77%,
2017/6/21--6:16:00,2017/6/21--7:03:00,0:47,62,17643,10%,
2017/6/21--22:32:00,2017/6/22--6:10:00,7:37,98,4898,72%,
2017/6/22--23:37:00,2017/6/23--6:38:00,7:00,61,7064,59%,
2017/6/23--23:26:00,2017/6/24--7:11:00,7:44,79,114,74%,
2017/6/25--22:08:00,2017/6/26--6:18:00,8:10,74,3403,83%,
2017/6/26--21:24:00,2017/6/27--6:15:00,8:51,97,6043,90%,
2017/6/27--21:52:00,2017/6/28--6:33:00,8:41,61,8946,86%,
2017/6/28--21:53:00,2017/6/29--6:21:00,8:28,82,7778,69%,
2017/6/29--22:32:00,2017/6/30--6:33:00,8:00,90,5510,77%,
2017/7/3--0:31:00,2017/7/3--7:44:00,7:12,78,17770,81%,
2017/7/3--22:37:00,2017/7/4--6:18:00,7:41,91,10604,73%,
2017/7/4--22:07:00,2017/7/5--5:55:00,7:48,70,7474,74%,
2017/7/5--21:48:00,2017/7/6--5:43:00,7:55,93,6430,66%,
2017/7/6--22:33:00,2017/7/7--6:31:00,7:57,77,11076,73%,
2017/7/9--22:36:00,2017/7/10--5:59:00,7:22,63,12647,70%,
2017/7/10--22:25:00,2017/7/11--6:01:00,7:35,68,4260,74%,
2017/7/11--21:39:00,2017/7/12--6:06:00,8:26,80,5504,65%,
2017/7/12--23:12:00,2017/7/13--6:25:00,7:13,82,6915,67%,
2017/7/13--22:30:00,2017/7/14--6:45:00,8:14,77,3919,81%,
2017/7/15--1:10:00,2017/7/15--7:54:00,6:43,63,5342,78%,
2017/7/16--2:12:00,2017/7/16--7:53:00,5:40,75,3739,69%,
2017/7/16--22:08:00,2017/7/17--6:25:00,8:17,78,5925,70%,
2017/7/17--22:51:00,2017/7/18--6:17:00,7:26,79,4840,71%,
2017/7/18--22:00:00,2017/7/19--6:39:00,8:39,91,5157,84%,
